category_tidy,county_l1,town_tidy,"Approach Roads, Streets & Lanes",Community – Your Planning and Involvement,Green Spaces and Landscaping,Nature and Biodiversity in your Locality,Residential Streets & Housing Areas,Streetscape & Public Places,Sustainability – Doing more with less,Tidiness and Litter Control,category_dummy_Large Urban Centre,category_dummy_Small Town,category_dummy_Village,2019.0,pred_linreg,pred_lasso,pred_ridge,pred_elasticnet,pred_treereg,pred_randforest,pred_bagging,pred_adaboost,pred_gradboost,pred_gradboost_dft
Village,Wicklow,Newcastle,0.76,0.6666666666666666,0.74,0.7,0.74,0.74,0.36,0.6666666666666666,0,0,1,0.6638297872340425,0.66,0.65,0.66,0.62,0.65,0.65,0.65,0.64,0.66,0.66
Village,Mayo,Balla,0.64,0.75,0.82,0.6,0.64,0.82,0.42,0.6666666666666666,0,0,1,0.6638297872340425,0.66,0.66,0.66,0.62,0.66,0.66,0.66,0.65,0.65,0.65
Village,Leitrim,Drumkeeran,0.8,0.7833333333333333,0.84,0.46,0.74,0.86,0.36,0.6,0,0,1,0.6638297872340425,0.66,0.66,0.66,0.62,0.66,0.66,0.66,0.66,0.66,0.66
Village,Longford,Ardagh,0.8,0.7,0.88,0.6,0.66,0.9,0.34,0.6333333333333333,0,0,1,0.6617021276595745,0.67,0.67,0.67,0.62,0.66,0.66,0.66,0.66,0.67,0.67
Large Town,Cork,Fermoy,0.64,0.6166666666666667,0.78,0.72,0.64,0.94,0.36,0.7,0,0,0,0.6617021276595745,0.66,0.66,0.66,0.63,0.65,0.66,0.66,0.64,0.65,0.65
Village,Waterford,Villierstown,0.78,0.65,0.9,0.6,0.68,0.74,0.24,0.7,0,0,1,0.6617021276595745,0.65,0.65,0.65,0.62,0.65,0.65,0.64,0.64,0.63,0.63
Small Town,Clare,Sixmilebridge,0.7,0.75,0.9,0.62,0.76,0.82,0.34,0.6444444444444445,0,1,0,0.6617021276595745,0.67,0.67,0.67,0.63,0.66,0.66,0.66,0.66,0.67,0.67
Village,Galway,An Spidéal,0.8,0.7333333333333333,0.86,0.62,0.66,0.8,0.26,0.6777777777777778,0,0,1,0.6617021276595745,0.66,0.66,0.66,0.62,0.66,0.67,0.66,0.66,0.66,0.66
Village,Sligo,Coney Island,0.64,0.6833333333333333,0.74,0.82,0.72,0.8,0.26,0.7222222222222222,0,0,1,0.6617021276595745,0.66,0.66,0.66,0.62,0.66,0.66,0.65,0.65,0.66,0.66
Village,Cork,Ballingeary,0.74,0.8,0.86,0.74,0.66,0.78,0.32,0.5888888888888889,0,0,1,0.6617021276595745,0.67,0.67,0.67,0.62,0.68,0.68,0.68,0.67,0.68,0.68
Village,Limerick,Templeglantine,0.76,0.7,0.82,0.66,0.68,0.8,0.3,0.7111111111111111,0,0,1,0.6617021276595745,0.67,0.67,0.67,0.62,0.66,0.66,0.66,0.66,0.67,0.67
Large Town,Clare,Shannon,0.74,0.8166666666666667,0.94,0.68,0.6,0.8,0.38,0.5222222222222223,0,0,0,0.6617021276595745,0.66,0.66,0.66,0.63,0.66,0.67,0.67,0.69,0.67,0.67
Village,Galway,Williamstown,0.7,0.7,0.82,0.74,0.56,0.82,0.34,0.7111111111111111,0,0,1,0.6617021276595745,0.66,0.66,0.66,0.62,0.66,0.66,0.66,0.66,0.66,0.66
Village,Tipperary,Inch-Bouladuff-Ragg,0.8,0.7,0.86,0.58,0.64,0.82,0.26,0.7333333333333333,0,0,1,0.6617021276595745,0.67,0.66,0.67,0.62,0.68,0.67,0.67,0.66,0.67,0.67
Large Town,Galway,Athenry,0.66,0.7833333333333333,0.82,0.74,0.68,0.84,0.44,0.5333333333333333,0,0,0,0.6595744680851063,0.66,0.66,0.66,0.63,0.68,0.66,0.66,0.66,0.67,0.67
Village,Louth,Castlebellingham,0.72,0.85,0.8,0.52,0.72,0.8,0.34,0.6555555555555556,0,0,1,0.6595744680851063,0.66,0.66,0.66,0.62,0.67,0.66,0.66,0.65,0.66,0.66
Village,Donegal,Loch An Iuir,0.84,0.75,0.92,0.62,0.64,0.72,0.3,0.6666666666666666,0,0,1,0.6595744680851063,0.67,0.67,0.67,0.62,0.65,0.66,0.66,0.65,0.66,0.66
Village,Mayo,Ballycastle,0.72,0.6833333333333333,0.76,0.58,0.68,0.86,0.34,0.7111111111111111,0,0,1,0.6595744680851063,0.66,0.65,0.66,0.62,0.66,0.66,0.66,0.65,0.66,0.66
Village,Tipperary,Marlfield,0.68,0.7666666666666667,0.82,0.78,0.74,0.78,0.24,0.6,0,0,1,0.6595744680851063,0.66,0.66,0.66,0.62,0.67,0.66,0.66,0.65,0.66,0.66
Small Town,Donegal,Killybegs,0.68,0.6666666666666666,0.76,0.56,0.68,0.8,0.38,0.7,0,1,0,0.6595744680851063,0.65,0.64,0.65,0.63,0.66,0.65,0.65,0.64,0.64,0.64
Village,Carlow,Ardattin,0.8,0.7,0.84,0.54,0.68,0.82,0.26,0.7222222222222222,0,0,1,0.6595744680851063,0.66,0.66,0.66,0.62,0.66,0.66,0.66,0.65,0.66,0.66
Small Town,Wicklow,Ashford,0.6,0.7,0.9,0.6,0.64,0.86,0.44,0.5888888888888889,0,1,0,0.6595744680851063,0.65,0.65,0.65,0.63,0.65,0.65,0.65,0.65,0.65,0.65
Village,Roscommon,Lisacul,0.66,0.7166666666666667,0.84,0.78,0.54,0.72,0.42,0.7111111111111111,0,0,1,0.6574468085106383,0.66,0.66,0.66,0.62,0.65,0.66,0.66,0.65,0.66,0.66
